match_csp;coeff_csp
15_19;0.5131670308
20_24;0.7853326625
25_29;0.9639758994
30_34;1.031486512
35_39;1.0348680528
40_44;1.0210998977
45_49;1.0142728781
50_54;1.0209267531
55_59;1.0536586108
60_64;1.1775890672
65_P;1.1300414545
Ensemble;1.0
F_15_19;0.7792293431
F_20_24;0.9295988793
F_25_29;0.9665018607
F_30_34;0.9758355978
F_35_39;0.9615590188
F_40_44;0.9451590125
F_45_49;0.9395617601
F_50_54;0.9388623702
F_55_59;0.9397952622
F_60_64;0.9898896936
F_65_P;0.95870058
F_Ensemble;0.9461639285
M_15_19;0.2895481134
M_20_24;0.5768124879
M_25_29;0.7790230618
M_30_34;0.9167659983
M_35_39;0.9573626253
M_40_44;0.9458440915
M_45_49;0.9610451999
M_50_54;0.9976672449
M_55_59;1.0783478077
M_60_64;1.2986407169
M_65_P;1.2554438326
M_Ensemble;0.8724279299
