match_menage;coeff_menage
15_19;0.3559527953
20_24;0.7592831064
25_29;0.9900531033
30_34;1.3121376696
35_39;1.4262086411
40_44;1.4112734387
45_49;1.2985284845
50_54;1.0728680512
55_59;1.0538733178
60_64;1.0897458339
65_69;1.0863725647
70_74;1.0248717775
75_79;0.9013005438
80_P;0.6209871816
Ensemble;1.0
F_15_19;0.4533134989
F_20_24;0.8411076664
F_25_29;1.0559921995
F_30_34;1.3403199285
F_35_39;1.412807209
F_40_44;1.3682295897
F_45_49;1.22417766
F_50_54;0.9872468911
F_55_59;1.0546207444
F_60_64;1.0450172664
F_65_69;0.9862975107
F_70_74;0.8793293908
F_75_79;0.7016466084
F_80_P;0.4068628944
F_Ensemble;0.9661467585
M_15_19;0.1966839976
M_20_24;0.6355015421
M_25_29;0.9193903651
M_30_34;1.2661927051
M_35_39;1.4289054075
M_40_44;1.4495231175
M_45_49;1.3726602284
M_50_54;1.1620317066
M_55_59;1.0496745433
M_60_64;1.0951721599
M_65_69;1.1165999016
M_70_74;1.1262055218
M_75_79;1.125016186
M_80_P;1.0460479396
M_Ensemble;1.0471709248
