codgeo;P10_POP0610;P10_POP1117;P10_POP1824;P10_POP2539;P10_POP4054;P10_POP5564;P10_POP6579;P10_POP80P
1;41592.57158399998;55971.95394499997;43667.025048000025;116462.26241999996;129956.25880200003;71943.82788600006;61796.314960000025;27131.915882000023
2;36115.733562999994;48871.35869600002;42463.29782500007;98914.03829299999;111766.43514799998;71074.934232;61179.55812899998;28412.019872999987
3;18499.866950000003;25981.821871000004;22342.143225000003;54718.76297499993;70473.47218300003;50470.49263500001;52700.09955999999;27323.018605000005
4;9486.169313;13433.433107999992;10330.262104000001;25114.965527000008;34383.542905;22744.125666;24075.203264999996;10670.221016
5;8274.084680000002;11831.976485999996;8431.675332;23020.932373000003;30014.686973999997;19055.68438;18569.743142999996;9029.861845999998
6;57276.396048999995;84711.20618999994;83690.16161299997;191727.896067;220866.7804950001;137191.13010800004;156129.140581;80160.72370800005
7;19325.963349999998;26310.927453999997;19430.53849500001;52823.67867799999;66220.37896299997;44342.751713000005;43895.324788000034;21358.897752000004
8;18057.839141999997;25582.62247099997;21280.107756999998;51398.52232400002;60303.169394;37285.16420300001;33622.662144;14471.758021000003
9;8502.029486000001;12009.535210999991;9250.381683000003;24706.41034699999;32342.444982999987;21624.689798000007;22376.74785500001;11645.906517000007
10;18228.506479000003;26099.659887000013;25123.563628999993;54590.408821;61606.542457000025;40384.86908400002;37317.570506000025;17549.160457999995
11;20735.202647999984;29171.037854000006;23920.465918999984;58690.48112599998;72535.72213400001;50326.11178000002;52080.56073599998;25688.07488399999
12;14982.549326999992;20803.07778400001;16602.41877399999;44258.35972300002;56949.573950000035;38991.728868;43912.73282500003;23247.642042999993
13;117609.22961699992;167695.3207349999;184064.856189;370460.7147830001;404260.21234499995;243682.040279;237396.05482099988;108141.00364199997
14;42589.471534000026;58525.97642000002;64686.92882799994;124717.44947600004;137151.042092;89472.54989599997;79866.35549999989;37100.609769999995
15;7396.9383790000065;10170.390994;8943.240239000002;23826.814862999992;31844.62329699999;22078.513667999992;23329.09721199999;12156.924162000005
16;19425.939798999996;27612.936525000026;24392.735134000006;58372.931952000006;74485.996815;50256.88806199994;49754.858980000005;25295.405309000005
17;34500.52461400001;47934.622008000035;44595.52484899998;101387.131128;124855.30746199995;91575.68397700001;94021.82376000012;45424.339138000054
18;17447.508926000006;24909.607864;21255.676838;51318.72480600002;65223.73308899995;44753.465052999985;45155.26708199999;21508.367894
19;12554.489488;17236.067196999986;16510.607928000005;39312.53129;49945.73213499999;35188.97244000002;38040.756108;20824.16367799999
21;30291.198507999994;42145.195473999986;55080.38718399996;97385.08747000003;106949.97913500002;67638.09482100006;60072.08137199999;29901.79579999999
22;35988.454179;48412.883324000046;38962.029441000006;96732.63919800009;118712.10580399999;83333.80991600009;87254.777708;41475.16191200002
23;5887.779076999996;8665.205199000002;7168.856974;17637.806406999996;25656.75917800002;19022.519102;20616.262886999986;11969.773356999998
24;21811.94295499998;30901.291132000035;24798.421361;62948.50072400004;86389.3563630001;63097.44815099998;67081.60893700001;33575.443857
25;32325.64664400003;44786.56944099998;51465.836017000074;103320.77382300007;105433.30200699992;64432.444011000036;60078.347326000025;25469.34331300002
26;30932.933916;42982.18813100002;35449.32582999999;85342.11296500004;101512.46169000003;63188.41512400001;61952.29377500003;27175.759120000002
