p_1enf;p_2enf;p_m5;p_5_10;p_10_15;p_15_20;sexe_age
0.0011284004;7.909348e-05;0.0011284004;0.0;0.0;0.0;F15
0.0039845682;3.359234e-05;0.0039845682;0.0;0.0;0.0;F16
0.0105038227;0.00029981884;0.0105038227;0.0;0.0;0.0;F17
0.0238716634;0.00121424037;0.0238716634;0.0;0.0;0.0;F18
0.0466728655;0.00362831501;0.0466728655;0.0;0.0;0.0;F19
0.0771000228;0.00817382022;0.0762076562;0.0008923666;0.0;0.0;F20
0.1167554585;0.01626870057;0.1133286781;0.0034267803;0.0;0.0;F21
0.1655261621;0.02808405658;0.1562653024;0.0092608596;0.0;0.0;F22
0.222859736;0.04411760803;0.2014114036;0.0214483325;0.0;0.0;F23
0.2726453934;0.06033503014;0.2331208758;0.0395245176;0.0;0.0;F24
0.3462553838;0.08506159538;0.2808433884;0.0646549078;0.0007570877;0.0;F25
0.4258362021;0.11487213053;0.3289190402;0.0940726368;0.002844525;0.0;F26
0.5447800021;0.16117140459;0.4008660275;0.1358622739;0.0080517007;0.0;F27
0.6466914753;0.2097929766;0.4513167197;0.1765716161;0.0188031395;0.0;F28
0.7221073264;0.25511959554;0.4733580724;0.2126888822;0.0360603718;0.0;F29
0.8153352327;0.31143868115;0.4901030832;0.2637917073;0.0607293218;0.0007111204;F30
0.8536964331;0.34908469027;0.462681061;0.3020231729;0.0863802723;0.0026119268;F31
0.8571187064;0.37229449957;0.4146141685;0.3256085678;0.110355873;0.0065400971;F32
0.851961754;0.38772338772;0.3660713003;0.3390959895;0.1326667599;0.0141277044;F33
0.8684030619;0.40872605826;0.3283658373;0.3540069049;0.1590621081;0.0269682115;F34
0.9021238732;0.43418144816;0.2981126898;0.3633918255;0.1955909958;0.0450283621;F35
0.9456699533;0.4621183738;0.2710063979;0.3667720977;0.2394169159;0.0684745418;F36
0.9700740147;0.48017676942;0.2345106306;0.3585500476;0.2815797828;0.0954335537;F37
0.9802324909;0.49251749465;0.1964863595;0.3424388941;0.3172050242;0.1241022131;F38
0.9716175306;0.49737096726;0.1565519685;0.3180753515;0.342912867;0.1540773436;F39
