codgeo;P10_POP0610;P10_POP1117;P10_POP1824;P10_POP2539;P10_POP4054;P10_POP5564;P10_POP6579;P10_POP80P
1001;58.297436;79.405128;37.189744;130.666667;179.917949;98.502564;97.497436;30.153846
1002;19.833333;11.333333;12.277778;51.944444;44.388889;27.388889;26.444444;12.277778
1004;910.4251360000001;1219.2451760000001;1362.27794;2829.261806;2738.913878;1389.0432569999998;1411.788187;673.310091
1005;105.0;176.0;131.0;303.0;382.0;188.0;154.0;49.0
1006;4.142857;10.357143;4.142857;20.714286;27.964286;20.714286;16.571429;6.214286
1007;161.574109;199.967755;139.776025;488.366172;507.115571;298.700179;276.82317;76.089084
1008;47.712329;67.684932;63.246575;153.123288;186.410959;78.780822;56.589041;19.972603
1009;22.598187;26.706949;17.462236;65.740181;66.767372;47.250755;52.386707;16.435045
1010;94.843779;79.966324;66.018709;201.775491;192.477081;112.510758;110.651076;37.193639
1011;21.685714;35.828571;16.971429;66.942857;80.142857;59.4;39.6;2.828571
1012;23.305466;11.652733;8.73955;52.437299;65.061093;44.66881;51.466238;20.392283
1013;13.24375;17.31875;2.0375;27.50625;35.65625;21.39375;19.35625;14.2625
1014;248.755084;354.931034;211.340701;601.663719;744.242853;547.058945;367.639206;137.456579
1015;33.490536;35.520265;20.297294;74.054112;106.560796;83.218907;76.114854;22.327024
1016;37.0;27.0;27.0;80.0;74.0;57.0;40.0;23.0
1017;25.0;20.0;29.0;86.0;78.0;58.0;59.0;30.0
1019;1.0;2.0;0.0;0.0;4.0;6.0;7.0;0.0
1021;124.292792;143.150696;98.147351;281.513476;302.087796;168.437537;102.933703;35.001732
1022;66.163765;88.876699;62.264462;191.667515;249.931129;148.127832;172.815804;64.188727
1023;10.0;4.0;7.0;15.0;13.0;8.0;7.0;4.0
1024;231.292605;303.040514;180.313826;623.073955;631.570418;324.753698;275.663023;84.96463
1025;244.993039;321.436643;184.665804;649.262777;680.973184;355.618216;227.492453;78.325019
1026;47.255834;62.337483;56.280521;123.669524;169.919915;104.551519;109.544712;85.239091
1027;117.916718;145.648314;593.856917;656.143253;354.869556;199.16678;109.9724;28.749908
1028;41.0;63.0;40.0;101.0;141.0;81.0;42.0;11.0
1029;33.070248;47.243212;41.265858;124.921443;144.684269;71.37235;68.845925;32.125384
1030;76.087409;77.088576;85.094142;187.216906;180.206229;96.111998;83.096831;20.023333
1031;242.581215;272.720489;390.910402;706.161926;641.832021;485.032663;371.111257;114.921269
1032;210.028983;270.228171;225.46316;739.338294;576.481419;288.132398;208.353066;49.972065
1033;747.864847;821.883737;944.385922;2628.033151;2149.349576;1254.723343;1440.723862;729.854595
1034;507.324612;790.9766030000001;643.578248;1585.074795;1700.166307;1036.936857;1106.19148;709.756836
1035;17.0;25.0;18.0;65.0;85.0;40.0;34.0;11.0
1036;32.184448;37.06088;30.233876;100.45449;106.306208;73.146473;67.294755;17.579269
1037;9.106561;20.236802;13.085458;56.320727;56.320727;45.327413;36.35778;13.96037
1038;61.856715;62.87076;33.463469;133.853876;160.219033;106.44689;74.02525;31.43538
1039;22.127119;30.556497;25.288136;57.951977;99.045198;56.898305;44.254237;17.912429
1040;34.0;44.0;21.0;105.0;99.0;36.0;40.0;15.0
1041;46.644258;62.868347;55.770308;145.002801;166.296919;73.008403;96.330532;24.336134
1042;15.870445;24.797571;12.894737;41.659919;52.57085;49.595142;22.813765;6.94332
1043;360.062345;475.486344;321.059455;741.813634;1056.073557;534.200303;495.862283;168.844018
1044;42.133929;44.294643;28.089286;92.910714;110.196429;66.982143;55.098214;6.482143
1045;23.6;22.573913;12.313043;59.513043;42.069565;22.573913;16.417391;8.208696
1046;70.237454;58.531212;51.70257;156.083231;198.0306;81.943696;77.066095;30.241126
1047;89.0;102.0;58.0;165.0;235.0;76.0;62.0;19.0
1049;213.0;326.0;248.0;504.0;664.0;308.0;316.0;100.0
1050;23.0;20.0;12.0;71.0;54.0;22.0;34.0;19.0
1051;0.0;8.263736;3.098901;14.461538;28.923077;15.494505;16.527473;3.098901
1052;22.925806;33.890323;11.96129;36.880645;74.758065;48.841935;48.841935;13.954839
1053;1879.8177890000002;2906.8997120000004;4993.358547999999;7495.757611000001;7294.263720999998;4768.710138000001;4934.757226;3015.3517370000004
1054;106.052055;111.408219;57.846575;259.238356;284.947945;111.408219;102.838356;19.282192
1056;22.416201;23.312849;5.379888;70.835196;52.005587;54.695531;44.832402;15.243017
1057;40.0;59.0;28.0;111.0;102.0;45.0;45.0;21.0
1058;79.0;78.0;57.0;144.0;167.0;95.0;99.0;26.0
1059;2.0;9.0;9.0;14.0;20.0;10.0;16.0;6.0
1060;34.062615;55.101289;28.051565;78.143646;105.19337;85.156538;65.119705;52.095764
