CODGEO;sous_seg1;Seg1
1001;3_2;3.0
10010000;3_2;3.0
1002;1;1.0
10020000;1;1.0
10040101;8_2;8.0
10040102;5;5.0
10040201;8_1;8.0
10040202;4;4.0
1005;3_1;3.0
10050000;3_1;3.0
1006;1;1.0
10060000;1;1.0
1007;3_1;3.0
10070000;3_1;3.0
1008;2_2;2.0
10080000;2_2;2.0
1009;2_2;2.0
10090000;2_2;2.0
1010;2_3;2.0
10100000;2_3;2.0
1011;1;1.0
10110000;1;1.0
1012;1;1.0
10120000;1;1.0
1013;1;1.0
10130000;1;1.0
1014;8_1;8.0
10140000;8_1;8.0
1015;2_2;2.0
10150000;2_2;2.0
1016;1;1.0
10160000;1;1.0
1017;1;1.0
10170000;1;1.0
1019;2_1;2.0
10190000;2_1;2.0
1021;3_3;3.0
10210000;3_3;3.0
1022;5;5.0
10220000;5;5.0
1023;3_2;3.0
10230000;3_2;3.0
1024;3_1;3.0
10240000;3_1;3.0
1025;4;4.0
10250000;4;4.0
1026;4;4.0
10260000;4;4.0
1027;3_1;3.0
10270000;3_1;3.0
1028;2_2;2.0
10280000;2_2;2.0
1029;2_3;2.0
10290000;2_3;2.0
1030;4;4.0
10300000;4;4.0
1031;4;4.0
10310000;4;4.0
1032;3_1;3.0
10320000;3_1;3.0
10330101;3_1;3.0
10330102;8_1;8.0
10330201;4;4.0
10330202;2_3;2.0
10330301;2_3;2.0
1034;8_2;8.0
10340000;8_2;8.0
1035;1;1.0
10350000;1;1.0
1036;2_2;2.0
10360000;2_2;2.0
1037;2_1;2.0
10370000;2_1;2.0
1038;2_3;2.0
10380000;2_3;2.0
1039;3_1;3.0
10390000;3_1;3.0
1040;2_3;2.0
10400000;2_3;2.0
1041;3_2;3.0
10410000;3_2;3.0
1042;1;1.0
10420000;1;1.0
1043;8_2;8.0
10430000;8_2;8.0
1044;2_3;2.0
10440000;2_3;2.0
1045;1;1.0
10450000;1;1.0
1046;2_2;2.0
10460000;2_2;2.0
1047;2_3;2.0
10470000;2_3;2.0
1049;3_1;3.0
10490000;3_1;3.0
1050;1;1.0
10500000;1;1.0
1051;1;1.0
10510000;1;1.0
1052;1;1.0
10520000;1;1.0
10530101;8_2;8.0
10530102;5;5.0
10530103;6_1;6.0
10530201;3_2;3.0
10530202;4;4.0
10530203;4;4.0
10530301;4;4.0
10530302;5;5.0
10530401;3_2;3.0
10530402;4;4.0
10530501;4;4.0
10530502;4;4.0
10530503;5;5.0
10530601;4;4.0
10530602;3_2;3.0
10530603;4;4.0
10530604;4;4.0
10530701;5;5.0
1054;2_3;2.0
10540000;2_3;2.0
1056;1;1.0
10560000;1;1.0
1057;3_3;3.0
10570000;3_3;3.0
1058;2_3;2.0
10580000;2_3;2.0
1059;1;1.0
10590000;1;1.0
1060;2_3;2.0
10600000;2_3;2.0
1061;2_2;2.0
10610000;2_2;2.0
1062;3_3;3.0
10620000;3_3;3.0
1063;3_2;3.0
10630000;3_2;3.0
1064;1;1.0
10640000;1;1.0
1065;3_3;3.0
10650000;3_3;3.0
1066;1;1.0
10660000;1;1.0
1067;3_1;3.0
10670000;3_1;3.0
1068;2_3;2.0
10680000;2_3;2.0
1069;3_3;3.0
10690000;3_3;3.0
1071;5;5.0
10710000;5;5.0
1072;3_1;3.0
10720000;3_1;3.0
1073;2_3;2.0
10730000;2_3;2.0
1074;5;5.0
10740000;5;5.0
1075;3_3;3.0
10750000;3_3;3.0
1076;2_1;2.0
10760000;2_1;2.0
1077;1;1.0
10770000;1;1.0
1078;3_3;3.0
10780000;3_3;3.0
1079;3_1;3.0
10790000;3_1;3.0
1080;2_3;2.0
