codgeo;CLUSTER
1001;6.0
10010000;6.0
1002;8.0
10020000;8.0
10040101;2.0
10040102;5.0
10040201;1.0
10040202;9.0
1005;9.0
10050000;9.0
1006;8.0
10060000;8.0
1007;9.0
10070000;9.0
1008;9.0
10080000;9.0
1009;8.0
10090000;8.0
1010;9.0
10100000;9.0
1011;9.0
10110000;9.0
1012;8.0
10120000;8.0
1013;8.0
10130000;8.0
1014;10.0
10140000;10.0
1015;6.0
10150000;6.0
1016;6.0
10160000;6.0
1017;7.0
10170000;7.0
1019;8.0
10190000;8.0
1021;9.0
10210000;9.0
1022;10.0
10220000;10.0
1023;6.0
10230000;6.0
1024;9.0
10240000;9.0
1025;6.0
10250000;6.0
1026;7.0
10260000;7.0
1027;9.0
10270000;9.0
1028;6.0
10280000;6.0
1029;9.0
10290000;9.0
1030;5.0
10300000;5.0
1031;1.0
10310000;1.0
1032;10.0
10320000;10.0
10330101;2.0
10330102;1.0
10330201;2.0
10330202;4.0
10330301;2.0
10340101;2.0
10340102;1.0
10340103;5.0
1035;8.0
10350000;8.0
1036;8.0
10360000;8.0
1037;8.0
10370000;8.0
1038;6.0
10380000;6.0
1039;8.0
10390000;8.0
1040;6.0
10400000;6.0
1041;9.0
10410000;9.0
1042;6.0
10420000;6.0
1043;9.0
10430000;9.0
1044;9.0
10440000;9.0
1045;6.0
10450000;6.0
1046;6.0
10460000;6.0
1047;6.0
10470000;6.0
1049;9.0
10490000;9.0
1050;6.0
10500000;6.0
1051;8.0
10510000;8.0
1052;9.0
10520000;9.0
10530101;3.0
10530102;1.0
10530103;1.0
10530201;1.0
10530202;4.0
10530203;1.0
10530301;1.0
10530302;1.0
10530401;5.0
10530402;10.0
10530501;1.0
10530502;5.0
10530503;4.0
10530601;4.0
10530602;4.0
10530603;4.0
10530604;9.0
10530701;2.0
1054;6.0
10540000;6.0
1056;8.0
10560000;8.0
1057;6.0
10570000;6.0
1058;6.0
10580000;6.0
1059;8.0
10590000;8.0
1060;10.0
10600000;10.0
1061;6.0
10610000;6.0
1062;6.0
10620000;6.0
1063;9.0
10630000;9.0
1064;10.0
10640000;10.0
1065;6.0
10650000;6.0
1066;8.0
10660000;8.0
1067;9.0
10670000;9.0
1068;10.0
10680000;10.0
1069;9.0
10690000;9.0
1071;2.0
10710000;2.0
1072;10.0
10720000;10.0
1073;8.0
10730000;8.0
1074;2.0
10740000;2.0
1075;9.0
10750000;9.0
1076;10.0
10760000;10.0
1077;8.0
10770000;8.0
1078;9.0
10780000;9.0
1079;10.0
10790000;10.0
1080;9.0
10800000;9.0
1081;10.0
10810000;10.0
1082;10.0
10820000;10.0
1083;6.0
10830000;6.0
1084;6.0
10840000;6.0
1085;6.0
10850000;6.0
1087;9.0
10870000;9.0
1088;6.0
10880000;6.0
1089;6.0
10890000;6.0
1090;9.0
10900000;9.0
1091;9.0
10910000;9.0
1092;6.0
10920000;6.0
1093;2.0
10930000;2.0
1094;8.0
10940000;8.0
1095;9.0
10950000;9.0
1096;6.0
10960000;6.0
1097;8.0
10970000;8.0
1098;9.0
10980000;9.0
1099;9.0
10990000;9.0
1100;8.0
11000000;8.0
1101;6.0
11010000;6.0
1102;6.0
11020000;6.0
1103;10.0
11030000;10.0
1104;10.0
11040000;10.0
1105;6.0
11050000;6.0
1106;6.0
11060000;6.0
1107;7.0
11070000;7.0
1108;10.0
11080000;10.0
1109;10.0
11090000;10.0
1110;8.0
11100000;8.0
1111;8.0
11110000;8.0
1112;9.0
11120000;9.0
1113;10.0
11130000;10.0
1114;10.0
11140000;10.0
1115;9.0
11150000;9.0
1116;9.0
11160000;9.0
1117;6.0
11170000;6.0
1118;9.0
11180000;9.0
1119;9.0
11190000;9.0
1121;9.0
11210000;9.0
1122;8.0
11220000;8.0
1123;6.0
11230000;6.0
1124;8.0
11240000;8.0
1125;9.0
11250000;9.0
1127;8.0
11270000;8.0
1128;8.0
11280000;8.0
1129;6.0
11290000;6.0
1130;6.0
11300000;6.0
1133;6.0
11330000;6.0
1134;9.0
11340000;9.0
1135;9.0
11350000;9.0
1136;6.0
11360000;6.0
1138;2.0
11380000;2.0
1139;8.0
11390000;8.0
1140;6.0
11400000;6.0
1141;6.0
11410000;6.0
1142;9.0
11420000;9.0
11430101;1.0
11430102;9.0
11430103;2.0
1144;9.0
11440000;9.0
1145;9.0
11450000;9.0
1146;6.0
11460000;6.0
1147;9.0
11470000;9.0
1148;10.0
11480000;10.0
1149;6.0
11490000;6.0
1150;6.0
11500000;6.0
1151;6.0
11510000;6.0
1152;6.0
11520000;6.0
1153;6.0
11530000;6.0
1154;9.0
11540000;9.0
1155;8.0
11550000;8.0
1156;6.0
11560000;6.0
1157;9.0
11570000;9.0
1158;9.0
11580000;9.0
1159;9.0
11590000;9.0
11600101;1.0
11600102;1.0
11600103;1.0
1162;6.0
11620000;6.0
1163;9.0
11630000;9.0
1165;6.0
11650000;6.0
1166;6.0
11660000;6.0
1167;6.0
11670000;6.0
1169;6.0
11690000;6.0
1170;6.0
11700000;6.0
1171;6.0
11710000;6.0
1172;8.0
11720000;8.0
11730101;1.0
11730102;2.0
11730103;1.0
1174;9.0
11740000;9.0
1175;9.0
11750000;9.0
1176;8.0
11760000;8.0
1177;8.0
11770000;8.0
1179;9.0
11790000;9.0
1180;9.0
11800000;9.0
1181;6.0
11810000;6.0
1182;9.0
11820000;9.0
1183;6.0
11830000;6.0
1184;8.0
11840000;8.0
1185;1.0
11850000;1.0
1186;8.0
11860000;8.0
1187;10.0
11870000;10.0
1188;6.0
11880000;6.0
1189;9.0
11890000;9.0
1190;9.0
11900000;9.0
1191;8.0
11910000;8.0
1192;10.0
11920000;10.0
1193;8.0
11930000;8.0
11940101;2.0
11940102;9.0
1195;6.0
11950000;6.0
1196;9.0
11960000;9.0
1197;6.0
11970000;6.0
1198;9.0
11980000;9.0
1199;10.0
11990000;10.0
1200;9.0
12000000;9.0
12020101;10.0
12020102;2.0
1203;9.0
12030000;9.0
1204;6.0
12040000;6.0
1205;10.0
12050000;10.0
1206;6.0
12060000;6.0
1207;6.0
12070000;6.0
1208;8.0
12080000;8.0
1209;9.0
12090000;9.0
1210;2.0
12100000;2.0
1211;9.0
12110000;9.0
1212;9.0
12120000;9.0
1213;6.0
12130000;6.0
1214;8.0
12140000;8.0
1215;9.0
12150000;9.0
1216;8.0
12160000;8.0
1218;9.0
12180000;9.0
1219;10.0
12190000;10.0
1221;8.0
12210000;8.0
1224;9.0
12240000;9.0
1225;6.0
12250000;6.0
1227;9.0
12270000;9.0
1228;9.0
12280000;9.0
1229;9.0
12290000;9.0
1230;8.0
12300000;8.0
1231;9.0
12310000;9.0
1232;10.0
12320000;10.0
1233;8.0
12330000;8.0
1234;8.0
12340000;8.0
1235;10.0
12350000;10.0
1236;6.0
12360000;6.0
1237;9.0
12370000;9.0
1238;6.0
12380000;6.0
1239;6.0
12390000;6.0
1240;9.0
12400000;9.0
1241;9.0
12410000;9.0
1242;10.0
12420000;10.0
1243;6.0
12430000;6.0
12440101;2.0
12440102;1.0
12440103;9.0
1245;8.0
12450000;8.0
1246;10.0
12460000;10.0
1247;2.0
12470000;2.0
1248;6.0
12480000;6.0
12490101;2.0
12490102;5.0
12490103;9.0
1250;6.0
12500000;6.0
1252;6.0
12520000;6.0
1254;6.0
12540000;6.0
1255;10.0
12550000;10.0
1257;9.0
12570000;9.0
1258;6.0
12580000;6.0
1259;6.0
12590000;6.0
1260;6.0
12600000;6.0
1261;6.0
12610000;6.0
12620101;9.0
12620102;4.0
1263;9.0
12630000;9.0
1264;9.0
12640000;9.0
1265;5.0
12650000;5.0
1266;10.0
12660000;10.0
1267;9.0
12670000;9.0
1268;9.0
12680000;9.0
1269;1.0
12690000;1.0
1271;6.0
12710000;6.0
1272;10.0
12720000;10.0
1273;9.0
12730000;9.0
1274;10.0
12740000;10.0
1275;9.0
12750000;9.0
1276;6.0
12760000;6.0
1277;7.0
12770000;7.0
1279;8.0
12790000;8.0
1280;8.0
12800000;8.0
1281;2.0
12810000;2.0
1282;9.0
12820000;9.0
12830102;4.0
12830103;4.0
12830104;4.0
12830201;1.0
12830202;1.0
12830203;5.0
12830301;2.0
12830302;8.0
12830303;1.0
12830304;1.0
12830305;8.0
12830306;6.0
1284;6.0
12840000;6.0
1285;9.0
12850000;9.0
1286;6.0
12860000;6.0
1288;9.0
12880000;9.0
